Date,Open,Close,Low,High,Volume
2015-01-01,1968.95,1974.4,1956.9,1982.0,500691
2015-01-02,1972.0,2013.2,1972.0,2019.05,1694580
2015-01-05,2009.9,1995.9,1977.5,2030.0,2484256
2015-01-06,1980.0,1954.2,1934.1,1985.0,2416829
2015-01-07,1965.0,1963.55,1950.0,1974.75,1812479
2015-01-08,1985.6,1973.45,1950.0,1997.0,3391230
2015-01-09,1980.1,2074.45,1913.05,2109.0,11215832
2015-01-12,2092.0,2115.95,2075.0,2119.2,3189722
2015-01-13,2107.8,2088.9,2075.0,2107.8,2200309
2015-01-14,2098.5,2128.65,2092.6,2133.0,2480315
2015-01-15,2135.2,2134.25,2112.25,2152.8,2085613
2015-01-16,2148.0,2118.3,2112.0,2160.0,1672740
2015-01-19,2120.0,2102.5,2094.6,2132.35,1021936
2015-01-20,2107.0,2124.2,2101.45,2133.0,1701126
2015-01-21,2131.5,2169.9,2118.0,2175.95,2123727
2015-01-22,2174.8,2196.45,2161.3,2203.0,2489599
2015-01-23,2200.0,2215.05,2165.1,2225.0,2371582
2015-01-27,2221.0,2136.5,2130.1,2221.0,3434992
2015-01-28,2150.0,2144.55,2130.3,2154.8,3283589
2015-01-29,2145.0,2145.5,2127.6,2149.9,3842356
2015-01-30,2161.5,2141.9,2126.95,2162.55,2708436
2015-02-02,2141.5,2136.85,2126.05,2152.0,2175635
2015-02-03,2136.85,2120.9,2102.0,2139.95,1316489
2015-02-04,2139.9,2142.85,2126.4,2150.0,1290004
2015-02-05,2150.8,2193.8,2148.0,2220.0,2968984
2015-02-06,2205.0,2230.5,2188.5,2247.8,1863432
2015-02-09,2200.0,2248.9,2200.0,2254.0,1634217
2015-02-10,2243.0,2278.3,2241.0,2298.0,2129230
2015-02-11,2280.5,2284.85,2256.25,2293.2,1449243
2015-02-12,2283.0,2311.2,2273.0,2321.95,1571884
2015-02-13,2299.6,2296.1,2286.0,2326.7,1414379
2015-02-16,2280.3,2278.75,2265.25,2306.9,1561069
2015-02-18,2290.55,2296.5,2258.15,2304.95,2153441
2015-02-19,2294.0,2324.7,2292.05,2334.0,2418406
2015-02-20,2328.5,2283.1,2276.9,2336.0,1742907
2015-02-23,2300.0,2265.6,2248.1,2309.2,1272622
2015-02-24,2279.0,2272.8,2257.6,2295.95,1609419
2015-02-25,2288.9,2317.6,2280.0,2334.8,1511243
2015-02-26,2307.5,2258.1,2245.4,2309.0,1611444
2015-02-27,2274.9,2265.75,2251.5,2280.65,1950269
2015-02-28,2274.75,2296.45,2256.2,2307.9,799334
2015-03-02,2303.0,2291.7,2278.05,2308.5,1760248
2015-03-03,2290.0,2297.85,2278.3,2302.95,1226388
2015-03-04,2300.0,2274.65,2251.9,2313.9,1093807
2015-03-05,2267.05,2247.6,2233.35,2298.75,1421229
2015-03-09,2259.0,2190.05,2179.0,2259.0,1996180
2015-03-10,2198.1,2198.0,2160.2,2206.95,1582479
2015-03-11,2194.1,2182.2,2169.1,2240.0,1695228
2015-03-12,2179.0,2218.3,2177.0,2226.45,1422141
2015-03-13,2225.0,2220.4,2192.4,2230.0,1544921
2015-03-16,2210.55,2266.65,2210.55,2282.0,1704658
2015-03-17,2266.65,2240.5,2217.25,2279.5,1384828
2015-03-18,2254.5,2229.5,2222.55,2262.85,1226391
2015-03-19,2234.6,2230.45,2222.75,2249.0,1722935
2015-03-20,2241.0,2257.45,2232.95,2268.9,1607724
2015-03-23,2253.0,2233.45,2225.5,2275.0,1269675
2015-03-24,2234.9,2211.45,2206.0,2253.4,1684133
2015-03-25,2222.9,2219.1,2200.75,2229.15,1542742
2015-03-26,2208.0,2146.35,2132.0,2214.9,3935210
2015-03-27,2164.0,2202.15,2163.0,2224.7,2518555
2015-03-30,2205.6,2228.0,2194.9,2240.0,1155772
2015-03-31,2245.0,2218.35,2204.35,2273.65,2004103
2015-04-01,2198.9,2173.95,2157.7,2199.5,1684622
2015-04-06,2179.0,2178.2,2160.4,2184.7,1935438
2015-04-07,2175.0,2159.5,2138.0,2182.8,2135567
2015-04-08,2182.5,2200.55,2173.05,2204.9,2546394
2015-04-09,2211.4,2215.0,2184.4,2218.9,2645387
2015-04-10,2210.2,2233.95,2210.2,2238.0,1780944
2015-04-13,2238.0,2238.8,2216.1,2244.0,1218084
2015-04-15,2236.5,2213.7,2195.05,2245.0,1559446
2015-04-16,2222.0,2194.65,2160.5,2231.0,2251953
2015-04-17,2180.05,2179.25,2153.45,2194.95,1612579
2015-04-20,2176.0,2132.15,2115.15,2180.0,3206346
2015-04-21,2148.0,2142.6,2120.1,2155.1,2220412
2015-04-22,2151.05,2137.7,2097.95,2155.0,3087746
2015-04-23,2148.7,2122.0,2112.0,2150.0,2972950
2015-04-24,2135.9,1995.2,1980.0,2150.2,10891363
2015-04-27,2000.0,1984.65,1948.1,2002.0,4955660
2015-04-28,1982.0,1960.9,1952.0,1982.0,2598375
2015-04-29,1960.9,1961.15,1937.95,1972.0,2072264
2015-04-30,1960.0,1942.25,1932.3,1965.0,3283565
2015-05-04,1959.5,1993.1,1949.9,2000.0,3340398
2015-05-05,2000.0,1962.75,1952.05,2003.7,2352129
2015-05-06,1975.0,1922.05,1915.3,1975.0,2627102
2015-05-07,1922.0,1944.0,1910.0,1967.1,1694996
2015-05-08,1958.0,1957.95,1945.25,1967.55,1444419
